id,Specialism,max_threshold_value,alignment_sum,alignment_sum_relative,alignment_mean,max,min
12,Cyber Threat Intelligence,NA,NA,NA,NA,NA,NA
12,Data Protection & Privacy,NA,NA,NA,NA,NA,NA
12,Digital Forensics,NA,NA,NA,NA,NA,NA
12,Digital Forensics (Industrial Control Systems),NA,NA,NA,NA,NA,NA
12,Identity & Access Management,NA,NA,NA,NA,NA,NA
12,Incident response,NA,NA,NA,NA,NA,NA
12,Incident response (Industrial Control Systems),NA,NA,NA,NA,NA,NA
12,Network Monitoring & Intrusion Detection,NA,NA,NA,NA,NA,NA
12,Secure Operations,NA,NA,NA,NA,NA,NA
12,Secure Operations (Industrial control systems),NA,NA,NA,NA,NA,NA
12,Secure System Architecture & Design,NA,NA,NA,NA,NA,NA
12,Secure System Architecture & Design (Industrial Control Systems),NA,NA,NA,NA,NA,NA
12,Secure System Development,NA,NA,NA,NA,NA,NA
12,Secure System Development (Industrial Control Systems),NA,NA,NA,NA,NA,NA
12,Security Testing,NA,NA,NA,NA,NA,NA
12,Vulnerability Management,NA,NA,NA,NA,NA,NA
13,Cryptography & Communications Security (Cryptographer),NA,NA,NA,NA,NA,NA
13,Cryptography & Communications Security (Secure Communications Operator),NA,NA,NA,NA,NA,NA
13,Cyber Security Audit & Assurance,NA,NA,NA,NA,NA,NA
13,Cyber Security Governance & Risk Management,NA,NA,NA,NA,NA,NA
13,Cyber Security Governance & Risk Management (Industrial Control Systems),NA,NA,NA,NA,NA,NA
13,Cyber Security Management,NA,NA,NA,NA,NA,NA
13,Cyber Threat Intelligence,NA,NA,NA,NA,NA,NA
13,Data Protection & Privacy,NA,NA,NA,NA,NA,NA
13,Digital Forensics,NA,NA,NA,NA,NA,NA
13,Digital Forensics (Industrial Control Systems),NA,NA,NA,NA,NA,NA
13,Identity & Access Management,NA,NA,NA,NA,NA,NA
13,Incident response,NA,NA,NA,NA,NA,NA
13,Incident response (Industrial Control Systems),NA,NA,NA,NA,NA,NA
13,Network Monitoring & Intrusion Detection,NA,NA,NA,NA,NA,NA
13,Secure Operations,NA,NA,NA,NA,NA,NA
13,Secure Operations (Industrial control systems),NA,NA,NA,NA,NA,NA
13,Secure System Architecture & Design,NA,NA,NA,NA,NA,NA
13,Secure System Architecture & Design (Industrial Control Systems),NA,NA,NA,NA,NA,NA
13,Secure System Development,NA,NA,NA,NA,NA,NA
13,Secure System Development (Industrial Control Systems),NA,NA,NA,NA,NA,NA
13,Security Testing,NA,NA,NA,NA,NA,NA
13,Vulnerability Management,NA,NA,NA,NA,NA,NA
14,Cryptography & Communications Security (Cryptographer),NA,NA,NA,NA,NA,NA
14,Cryptography & Communications Security (Secure Communications Operator),NA,NA,NA,NA,NA,NA
14,Cyber Security Audit & Assurance,NA,NA,NA,NA,NA,NA
14,Cyber Security Governance & Risk Management,NA,NA,NA,NA,NA,NA
14,Cyber Security Governance & Risk Management (Industrial Control Systems),NA,NA,NA,NA,NA,NA
14,Cyber Security Management,NA,NA,NA,NA,NA,NA
