id,Specialism,reference_sum,test_sum,alignment_index,alignment_type
49,Secure Operations (Industrial control systems),150.85999999999999,116.11999999999999,0.7697202704494234,scenario
49,Secure System Architecture & Design,56.06999999999999,56.06999999999999,1,scenario
49,Secure System Architecture & Design (Industrial Control Systems),66.75999999999999,66.75999999999999,1,scenario
49,Secure System Development,56.06999999999999,56.06999999999999,1,scenario
49,Secure System Development (Industrial Control Systems),66.75999999999999,66.75999999999999,1,scenario
49,Security Testing,84.96,83.16999999999999,0.9789312617702447,scenario
49,Vulnerability Management,102.3,83.16999999999999,0.8130009775171064,scenario
50,Cryptography & Communications Security (Cryptographer),182.24,127.62,0.7002853380158033,scenario
50,Cryptography & Communications Security (Secure Communications Operator),182.24,127.62,0.7002853380158033,scenario
50,Cyber Security Audit & Assurance,329.8,259.65999999999997,0.7873256519102485,scenario
50,Cyber Security Governance & Risk Management,258.17,199.66,0.7733663864895224,scenario
50,Cyber Security Governance & Risk Management (Industrial Control Systems),258.17,199.66,0.7733663864895224,scenario
50,Cyber Security Management,804.87,482.81,0.5998608470933194,scenario
50,Cyber Threat Intelligence,416.05,308.43,0.7413291671674077,scenario
50,Data Protection & Privacy,262.47,181.81,0.6926886882310359,scenario
50,Digital Forensics,322.91999999999996,211.81,0.6559209711383626,scenario
50,Digital Forensics (Industrial Control Systems),322.91999999999996,211.81,0.6559209711383626,scenario
50,Identity & Access Management,438.11,306.15999999999997,0.69881993106754,scenario
50,Incident response,411.46000000000004,288.51,0.7011860205123219,scenario
50,Incident response (Industrial Control Systems),411.46000000000004,288.51,0.7011860205123219,scenario
50,Network Monitoring & Intrusion Detection,284.24,236.13,0.8307416267942583,scenario
50,Secure Operations,343.27000000000004,281.32,0.8195298161796836,scenario
50,Secure Operations (Industrial control systems),343.27000000000004,281.32,0.8195298161796836,scenario
50,Secure System Architecture & Design,220.34,169.37,0.7686756830353091,scenario
50,Secure System Architecture & Design (Industrial Control Systems),220.34,169.37,0.7686756830353091,scenario
50,Secure System Development,220.34,169.37,0.7686756830353091,scenario
50,Secure System Development (Industrial Control Systems),220.34,169.37,0.7686756830353091,scenario
50,Security Testing,310.89,255.91000000000003,0.8231528836565989,scenario
50,Vulnerability Management,457.59000000000003,361.86,0.7907952533927751,scenario
51,Cryptography & Communications Security (Cryptographer),187.44,136.95,0.7306338028169014,scenario
51,Cryptography & Communications Security (Secure Communications Operator),187.44,136.95,0.7306338028169014,scenario
51,Cyber Security Audit & Assurance,393.78999999999996,302.58,0.7683790852992712,scenario
51,Cyber Security Governance & Risk Management,312.58,222.09,0.7105061104357285,scenario
51,Cyber Security Governance & Risk Management (Industrial Control Systems),313.88,223.39000000000001,0.7117051102332101,scenario
51,Cyber Security Management,713.05,523.1199999999999,0.7336371923427528,scenario
51,Cyber Threat Intelligence,561.06,411.21,0.7329162656400385,scenario
51,Data Protection & Privacy,231.45999999999998,189.37,0.8181543247213342,scenario
51,Digital Forensics,410.2799999999999,312.23999999999995,0.7610412401286927,scenario
51,Digital Forensics (Industrial Control Systems),411.5799999999999,313.53999999999996,0.7617960056368143,scenario
51,Identity & Access Management,398.06999999999994,203.21,0.510488105107142,scenario
51,Incident response,446.34,300,0.6721333512568894,scenario
51,Incident response (Industrial Control Systems),447.64,301.3,0.6730855151460996,scenario
51,Network Monitoring & Intrusion Detection,342.53,246.82999999999998,0.7206084138615596,scenario
51,Secure Operations,405.24999999999994,280.12,0.6912276372609502,scenario
51,Secure Operations (Industrial control systems),406.54999999999995,281.42,0.6922149797072932,scenario
51,Secure System Architecture & Design,117.19,80.36,0.6857240378871917,scenario
51,Secure System Architecture & Design (Industrial Control Systems),118.49,81.66,0.689172082032239,scenario
51,Secure System Development,117.19,80.36,0.6857240378871917,scenario
51,Secure System Development (Industrial Control Systems),118.49,81.66,0.689172082032239,scenario
51,Security Testing,352.13999999999993,275.95,0.7836371897540753,scenario
51,Vulnerability Management,438.7799999999999,313.09000000000003,0.7135466520807696,scenario
52,Cryptography & Communications Security (Cryptographer),294.25,246.22,0.8367714528462192,scenario
52,Cryptography & Communications Security (Secure Communications Operator),294.25,246.22,0.8367714528462192,scenario
52,Cyber Security Audit & Assurance,363.51,281.96000000000004,0.7756595416907377,scenario
52,Cyber Security Governance & Risk Management,267.63,220.18,0.8227029854650078,scenario
52,Cyber Security Governance & Risk Management (Industrial Control Systems),306.72,259.27,0.8452986437141365,scenario
52,Cyber Security Management,1025.5400000000002,615.57,0.6002398736275523,scenario
52,Cyber Threat Intelligence,478.6099999999999,353.29999999999995,0.7381793109212094,scenario
52,Data Protection & Privacy,251.85000000000002,185.06,0.7348024617828072,scenario
52,Digital Forensics,443.77,296.11,0.6672600671519031,scenario
52,Digital Forensics (Industrial Control Systems),482.86,335.20000000000005,0.6941970757569482,scenario
52,Identity & Access Management,432.11,290.61,0.6725370854643493,scenario
