id,cryptography_communications_security_cryptographer,cryptography_communications_security_secure_communications_operator,cyber_security_audit_assurance,cyber_security_governance_risk_management,cyber_security_governance_risk_management_industrial_control_systems,cyber_security_management,cyber_threat_intelligence,data_protection_privacy,digital_forensics,digital_forensics_industrial_control_systems,identity_access_management,incident_response,incident_response_industrial_control_systems,network_monitoring_intrusion_detection,secure_operations,secure_operations_industrial_control_systems,secure_system_architecture_design,secure_system_architecture_design_industrial_control_systems,secure_system_development,secure_system_development_industrial_control_systems,security_testing,vulnerability_management
11,5.2299999999999995,5.2299999999999995,15.501666666666669,21.192500000000003,17.75,7.205238095238095,9.382857142857143,16.06,5.54,5.366666666666666,10.37111111111111,4.881428571428572,4.76875,5.8675,4.578749999999999,4.512222222222222,4.57875,4.512222222222222,4.57875,4.512222222222222,5.567142857142857,9.483333333333333
12,29.96875,29.96875,41.99333333333333,40.49,37.056,29.233809523809523,40.55285714285714,41.884,31.84125,30.894444444444446,34.47777777777778,37.005714285714284,35.295,47.1475,41.835,39.77777777777778,23.9825,23.90888888888889,23.9825,23.90888888888889,27.93857142857143,39.958333333333336
13,37.55375,37.55375,46.56166666666667,47.3425,45.078,33.17714285714286,55.72,49.846,38.26375,38.01444444444444,45.34,41.572857142857146,40.87875,65.15,48.910000000000004,47.47777777777778,29.9025,30.582222222222224,29.9025,30.582222222222224,44.96,56.278333333333336
14,21.16,21.16,49.265,57.47,57.976,27.258095238095237,34.505714285714284,43.844,34.12875,37.48444444444444,27.263333333333332,27.58,32.17375,29.415,25.465,29.302222222222223,17.9625,23.114444444444445,17.9625,23.114444444444445,30.512857142857143,32.755
15,7.952500000000001,7.952500000000001,24.626666666666665,27.542499999999997,22.418,13.537142857142857,33.1,18.896,14.463750000000001,13.07,15.21888888888889,28.347142857142856,25.04375,32.79,19.29875,17.36777777777778,4.4087499999999995,4.1322222222222225,4.4087499999999995,4.1322222222222225,19.062857142857144,29.741666666666667
16,29.226250000000004,29.226250000000004,32.27333333333333,34.4625,32.784,26.32,38.645714285714284,19.982,30.47375,29.984444444444446,22.213333333333335,40.86,39.01125,63.425,38.725,37.318888888888885,31.29375,30.71333333333333,31.29375,30.71333333333333,34.95857142857143,50.31166666666667
17,12.36875,12.36875,37.13166666666667,42.3125,38.788,15.577619047619047,14.248571428571427,51.186,10.631250000000001,12.193333333333333,19.64777777777778,6.3828571428571435,8.67125,2.435,7.17875,9.124444444444444,2.60625,5.0600000000000005,2.60625,5.0600000000000005,10.178571428571429,6.623333333333334
18,29.50375,29.50375,43.365,47.845,50.276,28.863333333333333,41.61857142857143,38.476,35.3925,38.38,29.515555555555554,36.09285714285714,39.36625,42.7875,27.669999999999998,31.26222222222222,26.76125,30.70777777777778,26.76125,30.70777777777778,34.08,42.275
19,1.7150000000000003,1.7150000000000003,2.2866666666666666,3.43,2.744,2.0819047619047617,6.2457142857142856,2.744,8.504999999999999,7.56,1.5244444444444443,4.285714285714286,3.75,0,3.75,3.3333333333333335,0,0,0,0,1.96,0
20,28.135,28.135,49.205,51.3075,53.046,33.25904761904762,38.43857142857143,48.646,32.16375,35.99777777777778,37.913333333333334,34.5,38.52125,53.182500000000005,40.715,42.85777777777778,28.66375,32.88666666666667,28.66375,32.88666666666667,40.480000000000004,47.160000000000004
