scenario_id,cryptography_communications_security_cryptographer,cryptography_communications_security_secure_communications_operator,cyber_security_audit_assurance,cyber_security_governance_risk_management,cyber_security_governance_risk_management_industrial_control_systems,cyber_security_management,cyber_threat_intelligence,data_protection_privacy,digital_forensics,digital_forensics_industrial_control_systems,identity_access_management,incident_response,incident_response_industrial_control_systems,network_monitoring_intrusion_detection,secure_operations,secure_operations_industrial_control_systems,secure_system_architecture_design,secure_system_architecture_design_industrial_control_systems,secure_system_development,secure_system_development_industrial_control_systems,security_testing,vulnerability_management
14,0.5612666666666667,0.6013571428571428,0.8577499999999999,0.978,0.9675999999999999,0.7618850574712642,0.8762619047619047,0.6414242424242423,0.6919375,0.6801578947368421,0.6424313725490196,0.9244848484848486,0.8586666666666668,1,0.8255476190476191,0.8381041666666668,0.5223148148148148,0.5358888888888889,0.5223148148148148,0.5358888888888889,0.6685490196078431,0.964076923076923
15,0.33757777777777775,0.3616904761904762,0.5335,0.5330833333333334,0.5604333333333333,0.6437931034482758,0.8072380952380953,0.4910909090909091,0.6665833333333333,0.6318421052631579,0.6280980392156862,0.7682727272727273,0.6993333333333334,0.6517407407407407,0.6746428571428571,0.6740416666666665,0.40681481481481485,0.4124920634920635,0.40681481481481485,0.4124920634920635,0.5675686274509804,0.7626153846153847
16,0.22477777777777777,0.24083333333333332,0.23830555555555552,0.23245833333333332,0.18596666666666667,0.28495402298850575,0.5245,0.07815151515151515,0.27525,0.23178947368421055,0.1093921568627451,0.6803030303030303,0.5345238095238095,0.8278888888888889,0.5288571428571429,0.46275,0.16803703703703704,0.144031746031746,0.16803703703703704,0.144031746031746,0.26182352941176473,0.5844615384615385
17,0.026222222222222223,0.028095238095238097,0.03277777777777778,0.04916666666666667,0.03933333333333334,0.013563218390804599,0.028095238095238097,0.03575757575757576,0.024583333333333336,0.020701754385964912,0.023137254901960787,0,0,0,0,0,0,0,0,0,0.023137254901960787,0
18,0.2255111111111111,0.24161904761904762,0.6645833333333333,0.8535833333333332,0.767,0.47867816091954024,0.5227142857142856,0.47560606060606064,0.44316666666666665,0.41747368421052633,0.36037254901960786,0.5588484848484849,0.49919047619047624,0.4225555555555556,0.31738095238095243,0.3302916666666667,0.17012962962962963,0.18588888888888888,0.17012962962962963,0.18588888888888888,0.3622352941176471,0.509897435897436
19,0.07986666666666666,0.08557142857142856,0.049916666666666665,0.074875,0.059899999999999995,0.07579310344827586,0.11421428571428571,0.05445454545454545,0.16318749999999999,0.13742105263157894,0.07047058823529412,0.09090909090909091,0.07142857142857142,0,0.11421428571428571,0.0999375,0.033277777777777774,0.02852380952380952,0.033277777777777774,0.02852380952380952,0.03523529411764706,0
20,0.06666666666666667,0.07142857142857142,0.38869444444444445,0.3534583333333333,0.28276666666666667,0.20750574712643674,0.11888095238095238,0.21393939393939393,0.16652083333333334,0.14022807017543862,0.2662745098039216,0.24221212121212124,0.19030952380952382,0.18492592592592594,0.13054761904761905,0.11422916666666666,0.08383333333333334,0.07185714285714286,0.08383333333333334,0.07185714285714286,0.13798039215686275,0.24410256410256412
21,0.545888888888889,0.5848809523809525,0.9325277777777777,1,0.8210333333333334,0.81033333333333335,0.7566666666666667,0.7507575757575757,0.6129375,0.5272280701754387,0.6878823529411765,0.8721212121212122,0.7002619047619048,0.8203333333333335,0.7186428571428572,0.6419583333333334,0.5338888888888889,0.4676349206349207,0.5338888888888889,0.4676349206349207,0.6463529411764706,0.8461538461538461
22,0.4457111111111111,0.47754761904761905,0.308,0.23833333333333334,0.39066666666666666,0.4763103448275861,0.315047619047619,0.30303030303030304,0.45993749999999994,0.5336666666666666,0.45250980392156864,0.43709090909090914,0.5420476190476191,0.5635925925925926,0.48147619047619045,0.5462916666666667,0.6228148148148149,0.6662539682539683,0.6228148148148149,0.6662539682539683,0.6942941176470588,0.5005897435897436
23,0.10813333333333335,0.11585714285714287,0.1265,0.17145833333333332,0.1454,0.13034482758620689,0.10733333333333334,0.24151515151515152,0.042291666666666665,0.039947368421052634,0.17105882352941176,0.057757575757575765,0.051261904761904765,0.03503703703703704,0.14238095238095239,0.12972916666666667,0.03811111111111111,0.036587301587301585,0.03811111111111111,0.036587301587301585,0.034156862745098035,0.10787179487179488
