"","scenario_id","permutation","threshold_sum","values_sum","alignment_index","n_permutations"
"186",1,"Incident response, Vulnerability Management",720,270,0.375,2
"187",1,"Incident response (Industrial Control Systems), Network Monitoring & Intrusion Detection",690,240,0.347826086956522,2
"188",1,"Incident response (Industrial Control Systems), Secure Operations",840,210,0.25,2
"189",1,"Incident response (Industrial Control Systems), Secure Operations (Industrial control systems)",900,210,0.233333333333333,2
"190",1,"Incident response (Industrial Control Systems), Secure System Architecture & Design",960,150,0.15625,2
"191",1,"Incident response (Industrial Control Systems), Secure System Architecture & Design (Industrial Control Systems)",1050,150,0.142857142857143,2
"192",1,"Incident response (Industrial Control Systems), Secure System Development",960,150,0.15625,2
"193",1,"Incident response (Industrial Control Systems), Secure System Development (Industrial Control Systems)",1050,150,0.142857142857143,2
"194",1,"Incident response (Industrial Control Systems), Security Testing",930,270,0.290322580645161,2
"195",1,"Incident response (Industrial Control Systems), Vulnerability Management",810,270,0.333333333333333,2
"196",1,"Network Monitoring & Intrusion Detection, Secure Operations",690,150,0.217391304347826,2
"197",1,"Network Monitoring & Intrusion Detection, Secure Operations (Industrial control systems)",750,150,0.2,2
"198",1,"Network Monitoring & Intrusion Detection, Secure System Architecture & Design",810,90,0.111111111111111,2
"199",1,"Network Monitoring & Intrusion Detection, Secure System Architecture & Design (Industrial Control Systems)",900,90,0.1,2
"200",1,"Network Monitoring & Intrusion Detection, Secure System Development",810,90,0.111111111111111,2
"201",1,"Network Monitoring & Intrusion Detection, Secure System Development (Industrial Control Systems)",900,90,0.1,2
"202",1,"Network Monitoring & Intrusion Detection, Security Testing",780,210,0.269230769230769,2
"203",1,"Network Monitoring & Intrusion Detection, Vulnerability Management",660,210,0.318181818181818,2
"204",1,"Secure Operations, Secure Operations (Industrial control systems)",900,120,0.133333333333333,2
"205",1,"Secure Operations, Secure System Architecture & Design",960,60,0.0625,2
"206",1,"Secure Operations, Secure System Architecture & Design (Industrial Control Systems)",1050,60,0.0571428571428571,2
"207",1,"Secure Operations, Secure System Development",960,60,0.0625,2
"208",1,"Secure Operations, Secure System Development (Industrial Control Systems)",1050,60,0.0571428571428571,2
"209",1,"Secure Operations, Security Testing",930,180,0.193548387096774,2
"210",1,"Secure Operations, Vulnerability Management",810,180,0.222222222222222,2
"211",1,"Secure Operations (Industrial control systems), Secure System Architecture & Design",1020,60,0.0588235294117647,2
"212",1,"Secure Operations (Industrial control systems), Secure System Architecture & Design (Industrial Control Systems)",1110,60,0.0540540540540541,2
"213",1,"Secure Operations (Industrial control systems), Secure System Development",1020,60,0.0588235294117647,2
"214",1,"Secure Operations (Industrial control systems), Secure System Development (Industrial Control Systems)",1110,60,0.0540540540540541,2
"215",1,"Secure Operations (Industrial control systems), Security Testing",990,180,0.181818181818182,2
"216",1,"Secure Operations (Industrial control systems), Vulnerability Management",870,180,0.206896551724138,2
"217",1,"Secure System Architecture & Design, Secure System Architecture & Design (Industrial Control Systems)",1170,0,0,2
"218",1,"Secure System Architecture & Design, Secure System Development",1080,0,0,2
"219",1,"Secure System Architecture & Design, Secure System Development (Industrial Control Systems)",1170,0,0,2
"220",1,"Secure System Architecture & Design, Security Testing",1050,120,0.114285714285714,2
"221",1,"Secure System Architecture & Design, Vulnerability Management",930,120,0.129032258064516,2
"222",1,"Secure System Architecture & Design (Industrial Control Systems), Secure System Development",1170,0,0,2
"223",1,"Secure System Architecture & Design (Industrial Control Systems), Secure System Development (Industrial Control Systems)",1260,0,0,2
"224",1,"Secure System Architecture & Design (Industrial Control Systems), Security Testing",1140,120,0.105263157894737,2
"225",1,"Secure System Architecture & Design (Industrial Control Systems), Vulnerability Management",1020,120,0.117647058823529,2
"226",1,"Secure System Development, Secure System Development (Industrial Control Systems)",1170,0,0,2
"227",1,"Secure System Development, Security Testing",1050,120,0.114285714285714,2
"228",1,"Secure System Development, Vulnerability Management",930,120,0.129032258064516,2
