"","id","permutation","test_max","reference_max","alignment_index","n_permutations"
"13994","61","Data Protection & Privacy, Secure Operations (Industrial control systems)",60,150.21,0.399440782903934,2
"13995","61","Data Protection & Privacy, Secure System Architecture & Design",0,0,NA,2
"13996","61","Data Protection & Privacy, Secure System Architecture & Design (Industrial Control Systems)",0,0,NA,2
"13997","61","Data Protection & Privacy, Secure System Development",0,0,NA,2
"13998","61","Data Protection & Privacy, Secure System Development (Industrial Control Systems)",0,0,NA,2
"13999","61","Data Protection & Privacy, Security Testing",120,200,0.6,2
"14000","61","Data Protection & Privacy, Vulnerability Management",120,200,0.6,2
"14001","61","Digital Forensics, Digital Forensics (Industrial Control Systems)",110.21,150.21,0.73370614473071,2
"14002","61","Digital Forensics, Identity & Access Management",110.21,150.21,0.73370614473071,2
"14003","61","Digital Forensics, Incident response",150,250.21,0.599496423004676,2
"14004","61","Digital Forensics, Incident response (Industrial Control Systems)",150,250.21,0.599496423004676,2
"14005","61","Digital Forensics, Network Monitoring & Intrusion Detection",110.21,200,0.55105,2
"14006","61","Digital Forensics, Secure Operations",110.21,150.21,0.73370614473071,2
"14007","61","Digital Forensics, Secure Operations (Industrial control systems)",110.21,150.21,0.73370614473071,2
"14008","61","Digital Forensics, Secure System Architecture & Design",110.21,150.21,0.73370614473071,2
"14009","61","Digital Forensics, Secure System Architecture & Design (Industrial Control Systems)",110.21,150.21,0.73370614473071,2
"14010","61","Digital Forensics, Secure System Development",110.21,150.21,0.73370614473071,2
"14011","61","Digital Forensics, Secure System Development (Industrial Control Systems)",110.21,150.21,0.73370614473071,2
"14012","61","Digital Forensics, Security Testing",120,200,0.6,2
"14013","61","Digital Forensics, Vulnerability Management",120,200,0.6,2
"14014","61","Digital Forensics (Industrial Control Systems), Identity & Access Management",110.21,150.21,0.73370614473071,2
"14015","61","Digital Forensics (Industrial Control Systems), Incident response",150,250.21,0.599496423004676,2
"14016","61","Digital Forensics (Industrial Control Systems), Incident response (Industrial Control Systems)",150,250.21,0.599496423004676,2
"14017","61","Digital Forensics (Industrial Control Systems), Network Monitoring & Intrusion Detection",110.21,200,0.55105,2
"14018","61","Digital Forensics (Industrial Control Systems), Secure Operations",110.21,150.21,0.73370614473071,2
"14019","61","Digital Forensics (Industrial Control Systems), Secure Operations (Industrial control systems)",110.21,150.21,0.73370614473071,2
"14020","61","Digital Forensics (Industrial Control Systems), Secure System Architecture & Design",110.21,150.21,0.73370614473071,2
"14021","61","Digital Forensics (Industrial Control Systems), Secure System Architecture & Design (Industrial Control Systems)",110.21,150.21,0.73370614473071,2
"14022","61","Digital Forensics (Industrial Control Systems), Secure System Development",110.21,150.21,0.73370614473071,2
"14023","61","Digital Forensics (Industrial Control Systems), Secure System Development (Industrial Control Systems)",110.21,150.21,0.73370614473071,2
"14024","61","Digital Forensics (Industrial Control Systems), Security Testing",120,200,0.6,2
"14025","61","Digital Forensics (Industrial Control Systems), Vulnerability Management",120,200,0.6,2
"14026","61","Identity & Access Management, Incident response",150,250.21,0.599496423004676,2
"14027","61","Identity & Access Management, Incident response (Industrial Control Systems)",150,250.21,0.599496423004676,2
"14028","61","Identity & Access Management, Network Monitoring & Intrusion Detection",90,200,0.45,2
"14029","61","Identity & Access Management, Secure Operations",60,150.21,0.399440782903934,2
"14030","61","Identity & Access Management, Secure Operations (Industrial control systems)",60,150.21,0.399440782903934,2
"14031","61","Identity & Access Management, Secure System Architecture & Design",30,100,0.3,2
"14032","61","Identity & Access Management, Secure System Architecture & Design (Industrial Control Systems)",30,100,0.3,2
"14033","61","Identity & Access Management, Secure System Development",30,100,0.3,2
"14034","61","Identity & Access Management, Secure System Development (Industrial Control Systems)",30,100,0.3,2
"14035","61","Identity & Access Management, Security Testing",120,200,0.6,2
"14036","61","Identity & Access Management, Vulnerability Management",120,200,0.6,2
"14037","61","Incident response, Incident response (Industrial Control Systems)",150,250.21,0.599496423004676,2
"14038","61","Incident response, Network Monitoring & Intrusion Detection",150,250.21,0.599496423004676,2
"14039","61","Incident response, Secure Operations",150,250.21,0.599496423004676,2
"14040","61","Incident response, Secure Operations (Industrial control systems)",150,250.21,0.599496423004676,2
"14041","61","Incident response, Secure System Architecture & Design",150,250.21,0.599496423004676,2
"14042","61","Incident response, Secure System Architecture & Design (Industrial Control Systems)",150,250.21,0.599496423004676,2
"14043","61","Incident response, Secure System Development",150,250.21,0.599496423004676,2
"14044","61","Incident response, Secure System Development (Industrial Control Systems)",150,250.21,0.599496423004676,2
"14045","61","Incident response, Security Testing",150,250.21,0.599496423004676,2
"14046","61","Incident response, Vulnerability Management",150,250.21,0.599496423004676,2
"14047","61","Incident response (Industrial Control Systems), Network Monitoring & Intrusion Detection",150,250.21,0.599496423004676,2
"14048","61","Incident response (Industrial Control Systems), Secure Operations",150,250.21,0.599496423004676,2
"14049","61","Incident response (Industrial Control Systems), Secure Operations (Industrial control systems)",150,250.21,0.599496423004676,2
"14050","61","Incident response (Industrial Control Systems), Secure System Architecture & Design",150,250.21,0.599496423004676,2
"14051","61","Incident response (Industrial Control Systems), Secure System Architecture & Design (Industrial Control Systems)",150,250.21,0.599496423004676,2
"14052","61","Incident response (Industrial Control Systems), Secure System Development",150,250.21,0.599496423004676,2
"14053","61","Incident response (Industrial Control Systems), Secure System Development (Industrial Control Systems)",150,250.21,0.599496423004676,2
"14054","61","Incident response (Industrial Control Systems), Security Testing",150,250.21,0.599496423004676,2
"14055","61","Incident response (Industrial Control Systems), Vulnerability Management",150,250.21,0.599496423004676,2
"14056","61","Network Monitoring & Intrusion Detection, Secure Operations",90,200,0.45,2
"14057","61","Network Monitoring & Intrusion Detection, Secure Operations (Industrial control systems)",90,200,0.45,2
"14058","61","Network Monitoring & Intrusion Detection, Secure System Architecture & Design",90,200,0.45,2
"14059","61","Network Monitoring & Intrusion Detection, Secure System Architecture & Design (Industrial Control Systems)",90,200,0.45,2
"14060","61","Network Monitoring & Intrusion Detection, Secure System Development",90,200,0.45,2
"14061","61","Network Monitoring & Intrusion Detection, Secure System Development (Industrial Control Systems)",90,200,0.45,2
"14062","61","Network Monitoring & Intrusion Detection, Security Testing",120,200,0.6,2
"14063","61","Network Monitoring & Intrusion Detection, Vulnerability Management",120,200,0.6,2
"14064","61","Secure Operations, Secure Operations (Industrial control systems)",60,150.21,0.399440782903934,2
"14065","61","Secure Operations, Secure System Architecture & Design",60,150.21,0.399440782903934,2
"14066","61","Secure Operations, Secure System Architecture & Design (Industrial Control Systems)",60,150.21,0.399440782903934,2
"14067","61","Secure Operations, Secure System Development",60,150.21,0.399440782903934,2
"14068","61","Secure Operations, Secure System Development (Industrial Control Systems)",60,150.21,0.399440782903934,2
"14069","61","Secure Operations, Security Testing",120,200,0.6,2
"14070","61","Secure Operations, Vulnerability Management",120,200,0.6,2
"14071","61","Secure Operations (Industrial control systems), Secure System Architecture & Design",60,150.21,0.399440782903934,2
"14072","61","Secure Operations (Industrial control systems), Secure System Architecture & Design (Industrial Control Systems)",60,150.21,0.399440782903934,2
"14073","61","Secure Operations (Industrial control systems), Secure System Development",60,150.21,0.399440782903934,2
"14074","61","Secure Operations (Industrial control systems), Secure System Development (Industrial Control Systems)",60,150.21,0.399440782903934,2
"14075","61","Secure Operations (Industrial control systems), Security Testing",120,200,0.6,2
"14076","61","Secure Operations (Industrial control systems), Vulnerability Management",120,200,0.6,2
